teamNum,matchNum,alliance,driveStation,startLocation,preload,mobility,autoPickups,autoCones,autoCubes,autoBalance,communityPickups,neutralPickups,singlePickups,doublePickups,teleopCones,teleopCubes,shuttle,teleopBalance,buddyClimb,driver,scoutName,comments,scoredT,scoredA,scoredCones,scoredCubes,totalPickups,scoredLowT,scoredMidT,scoredHightT,scoredLowA,scoredMidA,scoredHighA,scoredTCones,scoredTCubes,scoredACones,scoredACubes,scoredHighT,pointsT,pointsA,pointsTotal,ct
8088,9,r,,1,cone,FALSE,NA,1,NA,na,0,3,0,1,"1,3,4,23",2,FALSE,fail,FALSE,3,ha,"slid off charge station, messed up by alliance partner. got stuck in corner for 10 secs. arm requires precision as does intake",5,2,5,2,7,4,0,0,1,0,0,4,1,1,1,1,13,9,22,25
7088,10,r,,3,NA,FALSE,NA,NA,NA,na,0,2,0,0,26,19,FALSE,fail,FALSE,2,Ha,not helped by alliance partner. did as much as they could with no intake. no defense,2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,2,10,12,22,67.5
2950,11,r,,1,cone,FALSE,NA,NA,NA,na,0,0,0,0,27,NA,FALSE,na,FALSE,1,harold,"did not drive well. the intake seemed broken, so they tried soccer-balling it but that did not work. they tried to get past community in auton but did not quite do it. ",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
2158,12,r,,1,cone,FALSE,NA,NA,NA,na,0,2,2,0,"7,27,9,24",8,FALSE,na,FALSE,4,harold,"got their arm stuck during auton but fixed that in teleop. with cones,they can pretty much only intake them through the cone's square base, which is a bit slow. ",5,2,5,2,7,3,0,0,0,0,0,4,1,1,1,2,16,12,28,27
4295,13,r,,1,cube,TRUE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,na,FALSE,3,harold,"kept going forward in auton until in the other team's community, partially went on their charge station and tipped over. ",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,67.5
9128,14,r,,2,cube,FALSE,NA,NA,5,fail,0,0,0,1,NA,"5,14",FALSE,na,FALSE,3,harold,"could intake cubes pretty well, but shut down mid-match.",3,2,2,3,5,1,1,0,1,0,0,1,2,1,1,0,5,3,8,45
6800,15,r,,1,cone,TRUE,NA,NA,NA,engage,2,2,4,0,"9,25,7,18,16,26","8,17",FALSE,engage,FALSE,5,harold,very good intake. very smooth and swift arm. clever auton that gets the mobility bonus and the charge station bonus.,8,2,7,3,10,3,3,0,0,0,0,6,2,1,1,2,25,12,37,16.25
6377,16,r,,3,cone,FALSE,1,21,19,na,0,1,5,0,"21,15,13,16,18","19,14,8",FALSE,na,FALSE,4,harold,mostly mid scorer. very good at intaking and scoring quickly and consistently. ,8,2,6,4,10,1,5,0,0,0,2,5,3,1,1,2,27,12,39,16.875
6672,2,r,,2,cone,TRUE,NA,22,NA,dock,1,1,3,0,"22,4,6","2,5,21",FALSE,engage,FALSE,5,harold,exceptional driving. outstanding intake. arm glitched a bit but that fixed intself. ,6,2,4,4,8,4,0,0,0,0,1,3,3,1,1,2,18,12,30,21.833
2789,4,r,,2,cube,TRUE,NA,NA,24,na,0,2,0,0,"23,25",24,FALSE,fail,FALSE,2,Perumandla,was able to dribble pieces into hybrid node but no intake and drove of the charge station at the end and very slow,3,2,3,2,5,0,0,0,0,0,1,2,1,1,1,3,15,18,33,40
5052,9,r,,2,NA,FALSE,NA,NA,NA,na,0,1,0,0,NA,5,FALSE,na,FALSE,1,novinski,"VERY long arm that is begging to get rammed into and broken, intake rrequire a lot of maneurvering, no auton",2,2,2,2,4,1,0,0,0,0,0,1,1,1,1,0,2,0,2,67.5
1164,10,r,,2,NA,FALSE,NA,NA,NA,engage,0,1,0,1,25,5,FALSE,na,FALSE,3,novinski,"goes over the charge station very well, kind of slow intake, didn't make their team lose points by insisting to try for a multi-engage",2,2,2,2,4,1,0,0,0,0,0,1,1,1,1,1,7,6,13,67.5
7125,11,r,,2,cube,FALSE,NA,NA,NA,na,0,0,0,0,24,23,FALSE,engage,FALSE,3,novinski,"no intake used, just pushed stuff in, Played meh defense after scoring two pieces, no auton",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,2,10,12,22,66.9
1477,13,r,,2,cube,FALSE,NA,4,NA,engage,1,3,3,0,"4,3,19,7","2,5,17,8",FALSE,engage,FALSE,4,novinski,"really fast cycles, sometimes drops intaked pieces, 1+ balance auton looks good",8,2,5,5,10,6,1,0,1,0,0,4,4,1,1,1,20,9,29,16.7
5866,14,r,,3,NA,FALSE,NA,NA,NA,na,0,1,0,0,NA,11,FALSE,na,FALSE,1,novinski,"SO very slow, and no driving to make up for it, also no auton",2,2,2,2,4,0,1,0,0,0,0,1,1,1,1,0,3,0,3,67.5
3545,15,r,,2,cube,FALSE,NA,NA,NA,na,0,1,0,0,27,NA,FALSE,na,FALSE,1,NOVINSKI,"didn't intake just tried and failed to soccerball bALLS IN, VERY SLOW AND CONFUSED",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,1,5,6,11,67.5
624,16,r,,2,cube,FALSE,NA,NA,5,engage,0,0,1,1,NA,"5,21,22,23",FALSE,engage,FALSE,5,novinski,"pretty good! great auton, great driver, he pushed a cube out of a double scored node then scored in another one with the cube he was holding to score a link",5,2,2,5,7,1,0,0,1,0,0,1,4,1,1,3,17,21,38,26.62
4610,8,r,,3,cube,TRUE,NA,NA,NA,na,0,0,0,0,NA,NA,FALSE,engage,FALSE,2,gabri,"didnt do anything during teleop, managed t o balance by the end",2,2,2,2,4,0,0,0,0,0,0,1,1,1,1,0,0,0,0,63.95
2848,9,r,,3,cube,TRUE,NA,NA,21,na,0,0,0,2,NA,"21,11,20",FALSE,fail,FALSE,4,brittian,intake was pretty buggy. only picked up cubes and did not score them very accurately. seemingly broke for a minute in the middle of the field but recovered,4,2,2,4,6,0,1,0,0,0,1,1,3,1,1,2,13,12,25,30
